Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Staff tip,Commission,Other merchant fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,Payout ID,Payout status
399814,Raw Sushi Bistro,892006,Raw Sushi Bistro,NULL,2026-06-25,USD,Marketplace,4652.63,388.73,3.00,-763.99,0.00,-122.24,-340.47,-32.00,-30.00,32.00,30.00,0.00,0.00,3817.66,4318.64,0.00,589023712,PAID
399814,Raw Sushi Bistro,892006,Raw Sushi Bistro,NULL,2026-06-25,USD,Storefront,136.28,12.26,7.40,0.00,-5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.81,136.28,0.00,589023712,PAID
399814,Raw Sushi Bistro,892006,Raw Sushi Bistro,NULL,2026-06-18,USD,Marketplace,4336.57,385.38,10.65,-782.01,0.00,-104.64,-66.47,-11.50,0.00,11.50,0.00,-24.69,0.00,3754.79,4282.57,0.00,587086767,PAID
399814,Raw Sushi Bistro,892006,Raw Sushi Bistro,NULL,2026-06-11,USD,Marketplace,5568.22,459.18,35.74,-932.56,0.00,-274.61,-477.27,-5.00,0.00,5.00,0.00,-19.56,19.56,4378.70,5102.42,0.00,585434256,PAID
399814,Raw Sushi Bistro,892006,Raw Sushi Bistro,NULL,2026-06-11,USD,Storefront,38.58,3.47,3.85,0.00,-1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.27,38.58,0.00,585434256,PAID
399814,Raw Sushi Bistro,892006,Raw Sushi Bistro,NULL,2026-06-04,USD,Marketplace,4159.44,358.67,10.71,-727.41,0.00,-131.85,-174.26,0.00,0.00,0.00,0.00,0.00,0.00,3495.30,3985.18,0.00,583437417,PAID
